Country,Region
Afghanistan,Asia
Bangladesh,Asia
Bhutan,Asia
Brunei,Asia
Burma,Asia
Cambodia,Asia
East Timor,Asia
Hong Kong,Asia
Indonesia,Asia
Japan,Asia
North Korea,Asia
South Korea,Asia
Laos,Asia
Macau,Asia
Malaysia,Asia
Maldives,Asia
Mongolia,Asia
Nepal,Asia
Pakistan,Asia
Philippines,Asia
Singapore,Asia
Sri Lanka,Asia
Taiwan,Asia
Thailand,Asia
Vietnam,Asia
China,China
Estonia,Eastern Europe/Central Asia
Latvia,Eastern Europe/Central Asia
Lithuania,Eastern Europe/Central Asia
Armenia,Eastern Europe/Central Asia
Azerbaijan,Eastern Europe/Central Asia
Belarus,Eastern Europe/Central Asia
Georgia,Eastern Europe/Central Asia
Kazakhstan,Eastern Europe/Central Asia
Kyrgyz Republic,Eastern Europe/Central Asia
Moldova,Eastern Europe/Central Asia
Russia,Eastern Europe/Central Asia
Tajikistan,Eastern Europe/Central Asia
Turkmenistan,Eastern Europe/Central Asia
Ukraine,Eastern Europe/Central Asia
Uzbekistan,Eastern Europe/Central Asia
Albania,Eastern Europe/Central Asia
Bosnia and Herzegovina,Eastern Europe/Central Asia
Bulgaria,Eastern Europe/Central Asia
Croatia,Eastern Europe/Central Asia
Czech Republic,Eastern Europe/Central Asia
Hungary,Eastern Europe/Central Asia
Macedonia,Eastern Europe/Central Asia
Poland,Eastern Europe/Central Asia
Romania,Eastern Europe/Central Asia
Serbia,Eastern Europe/Central Asia
Slovak Republic,Eastern Europe/Central Asia
Slovenia,Eastern Europe/Central Asia
India,India
Anguilla,Latin America
Antigua & Barbuda,Latin America
Argentina,Latin America
Aruba,Latin America
Bahamas,Latin America
Barbados,Latin America
Belize,Latin America
Bolivia,Latin America
Brazil,Latin America
British Virgin Is.,Latin America
Cayman Islands,Latin America
Chile,Latin America
Colombia,Latin America
Costa Rica,Latin America
Cuba,Latin America
Dominica,Latin America
Dominican Republic,Latin America
Ecuador,Latin America
El Salvador,Latin America
French Guiana,Latin America
Grenada,Latin America
Guadeloupe,Latin America
Guatemala,Latin America
Guyana,Latin America
Haiti,Latin America
Honduras,Latin America
Jamaica,Latin America
Martinique,Latin America
Mexico,Latin America
Montserrat,Latin America
Netherlands Antilles,Latin America
Nicaragua,Latin America
Panama,Latin America
Paraguay,Latin America
Peru,Latin America
Puerto Rico,Latin America
Saint Kitts & Nevis,Latin America
