Country	Region
Afghanistan 	ASIA
Bangladesh 	ASIA
Bhutan 	ASIA
Brunei 	ASIA
Burma 	ASIA
Cambodia 	ASIA
East Timor 	ASIA
Hong Kong 	ASIA
Indonesia 	ASIA
Japan 	ASIA
"Korea, North "	ASIA
"Korea, South "	ASIA
Laos 	ASIA
Macau 	ASIA
Malaysia 	ASIA
Maldives 	ASIA
Mongolia 	ASIA
Nepal 	ASIA
Pakistan 	ASIA
Philippines 	ASIA
Singapore 	ASIA
Sri Lanka 	ASIA
Taiwan 	ASIA
Thailand 	ASIA
Vietnam 	ASIA
China 	CHINA
Estonia 	EASTERN EUROPE/CENTRAL ASIA               
Latvia 	EASTERN EUROPE/CENTRAL ASIA               
Lithuania 	EASTERN EUROPE/CENTRAL ASIA               
Armenia 	EASTERN EUROPE/CENTRAL ASIA               
Azerbaijan 	EASTERN EUROPE/CENTRAL ASIA               
Belarus 	EASTERN EUROPE/CENTRAL ASIA               
Georgia 	EASTERN EUROPE/CENTRAL ASIA               
Kazakhstan 	EASTERN EUROPE/CENTRAL ASIA               
Kyrgyzstan 	EASTERN EUROPE/CENTRAL ASIA               
Moldova 	EASTERN EUROPE/CENTRAL ASIA               
Russia 	EASTERN EUROPE/CENTRAL ASIA               
Tajikistan 	EASTERN EUROPE/CENTRAL ASIA               
Turkmenistan 	EASTERN EUROPE/CENTRAL ASIA               
Ukraine 	EASTERN EUROPE/CENTRAL ASIA               
Uzbekistan 	EASTERN EUROPE/CENTRAL ASIA               
Albania 	EASTERN EUROPE/CENTRAL ASIA               
Bosnia and Herzegovina 	EASTERN EUROPE/CENTRAL ASIA               
Bulgaria 	EASTERN EUROPE/CENTRAL ASIA               
Croatia 	EASTERN EUROPE/CENTRAL ASIA               
Czech Republic 	EASTERN EUROPE/CENTRAL ASIA               
Hungary 	EASTERN EUROPE/CENTRAL ASIA               
Macedonia 	EASTERN EUROPE/CENTRAL ASIA               
Poland 	EASTERN EUROPE/CENTRAL ASIA               
Romania 	EASTERN EUROPE/CENTRAL ASIA               
Serbia 	EASTERN EUROPE/CENTRAL ASIA               
Slovak Republic	EASTERN EUROPE/CENTRAL ASIA               
Slovenia 	EASTERN EUROPE/CENTRAL ASIA               
India 	INDIA
Anguilla 	LATIN AMER. & CARIB    
Antigua & Barbuda 	LATIN AMER. & CARIB    
